Date,Open,High,Low,Close,Adj Close,Volume
2024-01-15,139.550003,139.550003,139.550003,139.550003,139.550003,0
2024-01-16,135.000000,135.300003,131.000000,133.550003,133.550003,47043428
2024-01-17,132.399994,132.399994,126.750000,127.400002,127.400002,76780526
2024-01-18,128.050003,129.800003,121.599998,129.449997,129.449997,111946831
2024-01-19,130.500000,135.500000,128.000000,135.050003,135.050003,81155018
2024-01-23,136.300003,137.300003,127.000000,130.100006,130.100006,72520625
2024-01-24,131.449997,136.899994,129.800003,136.199997,136.199997,54612769
2024-01-25,135.899994,138.199997,132.800003,136.149994,136.149994,60682540
2024-01-29,136.899994,137.699997,132.350006,135.550003,135.550003,55871017
2024-01-30,135.850006,138.800003,134.649994,137.199997,137.199997,57612020
2024-01-31,140.000000,142.000000,138.000000,139.550003,139.550003,89833027
2024-02-01,141.000000,143.500000,138.550003,140.550003,140.550003,70252449
2024-02-02,141.800003,145.000000,141.449997,143.800003,143.800003,78666454
2024-02-05,145.000000,145.399994,138.250000,140.250000,140.250000,54189688
2024-02-06,140.399994,141.800003,138.050003,139.949997,139.949997,46782951
2024-02-07,141.000000,142.899994,139.649994,140.399994,140.399994,75083259
2024-02-08,142.500000,147.500000,139.000000,144.100006,144.100006,184839649
2024-02-09,146.899994,151.399994,142.250000,149.449997,149.449997,257918995
2024-02-12,151.000000,158.800003,149.500000,153.800003,153.800003,155848102
2024-02-13,154.350006,157.899994,149.000000,154.750000,154.750000,79935680
2024-02-14,152.949997,153.750000,150.100006,152.250000,152.250000,38221083
2024-02-15,157.000000,159.199997,154.000000,154.850006,154.850006,77367585
2024-02-16,156.899994,160.000000,155.350006,156.699997,156.699997,61209337
2024-02-19,157.449997,160.449997,155.600006,157.500000,157.500000,60218202
2024-02-20,159.699997,163.800003,158.699997,161.050003,161.050003,85356675
2024-02-21,162.300003,167.800003,157.600006,158.649994,158.649994,91140945
2024-02-22,159.550003,163.000000,156.600006,162.100006,162.100006,67614848
2024-02-23,162.399994,164.800003,160.800003,164.050003,164.050003,37200710
2024-02-26,165.199997,168.500000,163.149994,164.199997,164.199997,33433566
2024-02-27,163.750000,163.850006,158.000000,161.300003,161.300003,29921497
2024-02-28,161.899994,161.949997,155.350006,159.350006,159.350006,41883110
2024-02-29,156.449997,168.850006,155.449997,165.449997,165.449997,175785440
2024-03-01,168.000000,173.500000,165.600006,166.500000,166.500000,42587331
2024-03-04,168.000000,175.600006,168.000000,169.800003,169.800003,55751426
2024-03-05,170.750000,171.500000,164.050003,165.850006,165.850006,29313864
2024-03-06,164.399994,164.399994,157.500000,161.550003,161.550003,95621548
2024-03-07,161.750000,163.449997,158.649994,160.000000,160.000000,43685238
2024-03-11,161.000000,163.199997,149.000000,154.850006,154.850006,51519591
